Electoral Division,Candidate,Electorate,NoOnRoll,turnout
Arreton and Newchurch,Total votes cast,1286,3070,0.41889250814332246
Binstead and Fishbourne,Total votes cast,1160,2766,0.4193781634128706
"Brading, St Helens and Bembridge",Total votes cast,4640,6189,0.7497172402649863
Carisbrooke,Total votes cast,883,2632,0.33548632218844987
Central Wight,Total votes cast,1339,2904,0.46108815426997246
"Chale, Niton and Whitwell",Total votes cast,1082,2297,0.47104919460165434
Cowes Medina,Total votes cast,864,3145,0.27472178060413355
Cowes North,Total votes cast,756,2603,0.2904341144832885
Cowes South and Northwood,Total votes cast,1020,2991,0.3410230692076229
Cowes West and Gurnard,Total votes cast,1390,3037,0.45768850839644387
East Cowes,Total votes cast,1191,3039,0.39190523198420535
Freshwater North,Total votes cast,715,2349,0.3043848446147297
Freshwater South,Total votes cast,979,2465,0.3971602434077079
Godshill and Wroxall,Total votes cast,1121,2583,0.4339914827719706
"Havenstreet, Ashey and Haylands",Total votes cast,859,2811,0.3055852009960868
Lake North,Total votes cast,860,2835,0.30335097001763667
Lake South,Total votes cast,989,2955,0.3346869712351946
Nettlestone and Seaview,Total votes cast,1368,2551,0.5362602900823207
Newport Central,Total votes cast,786,3050,0.2577049180327869
Newport East,Total votes cast,730,2557,0.28549080954243256
Newport North,Total votes cast,823,2475,0.3325252525252525
Newport South,Total votes cast,701,2664,0.26313813813813813
Newport West,Total votes cast,658,2416,0.2723509933774834
Parkhurst,Total votes cast,674,2410,0.2796680497925311
Ryde East,Total votes cast,974,2968,0.32816711590296493
Ryde North East,Total votes cast,816,2871,0.28422152560083597
Ryde North West,Total votes cast,850,3006,0.2827677977378576
Ryde South,Total votes cast,745,3177,0.23449795404469626
Ryde West,Total votes cast,834,2878,0.2897845726198749
Sandown North,Total votes cast,907,2514,0.3607796340493238
Sandown South,Total votes cast,808,3058,0.2642249836494441
Shanklin Central,Total votes cast,1041,2916,0.35699588477366256
Shanklin South,Total votes cast,1248,2983,0.41837076768354003
Totland,Total votes cast,977,2500,0.3908
Ventnor East,Total votes cast,1022,2478,0.4124293785310734
Ventnor West,Total votes cast,1140,2539,0.44899566758566367
West Wight,Total votes cast,1062,2862,0.3710691823899371
Whippingham and Osborne,Total votes cast,1044,3330,0.31351351351351353
Wootton Bridge,Total votes cast,1214,2859,0.42462399440363763
